OTU	Size	Taxonomy	taxname	phylum	family
Otu0874	19	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(79);Bacteroidales_S24-7_group_ge(79);	Otu0874_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0875	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0875_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0876	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0876_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0877	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(85);	Otu0877_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0878	19	Bacteria(100);Verrucomicrobia(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(85);Verrucomicrobiaceae_unclassified(85);	Otu0878_Verrucomicrobiaceae_unclassified	Verrucomicrobia	Verrucomicrobiaceae_unclassified
Otu0879	19	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(95);	Otu0879_Lactobacillus	Firmicutes	Lactobacillus
Otu0880	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0880_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0881	19	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0881_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0882	19	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(95);Bacteroidales_S24-7_group_ge(95);	Otu0882_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0883	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu0883_Blautia	Firmicutes	Blautia
Otu0884	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0884_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0885	19	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0885_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0886	19	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(74);Bacteroidales_S24-7_group_ge(74);	Otu0886_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0887	19	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0887_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0888	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_UCG-014(100);	Otu0888_Ruminococcaceae_UCG-014	Firmicutes	Ruminococcaceae_UCG-014
Otu0889	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(95);Ruminococcaceae_unclassified(64);	Otu0889_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0890	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Butyricicoccus(64);	Otu0890_Butyricicoccus	Firmicutes	Butyricicoccus
Otu0891	19	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);	Otu0891_Turicibacter	Firmicutes	Turicibacter
Otu0892	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(58);	Otu0892_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0893	19	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_NK4A136_group(69);	Otu0893_Lachnospiraceae_NK4A136_group	Firmicutes	Lachnospiraceae_NK4A136_group
Otu0894	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(73);	Otu0894_Roseburia	Firmicutes	Roseburia
Otu0895	18	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0895_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0896	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus_1(100);	Otu0896_Ruminococcus	Firmicutes	Ruminococcus
Otu0897	18	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);	Otu0897_Alphaproteobacteria_unclassified	Proteobacteria	Alphaproteobacteria_unclassified
Otu0898	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0898_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0899	18	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0899_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
