OTU	Size	Taxonomy	taxname	phylum	family
Otu0001	1319889	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu1_Lactobacillus	Firmicutes	Lactobacillus
Otu0002	749457	Bacteria(100);Verrucomicrobia(100);Verrucomicrobiae(100);Verrucomicrobiales(100);Verrucomicrobiaceae(100);Verrucomicrobiaceae_unclassified(100);	Otu2_Verrucomicrobiaceae_unclassified	Verrucomicrobia	Verrucomicrobiaceae_unclassified
Otu0003	589059	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia-Shigella(100);	Otu3_Escherichia-Shigella	Proteobacteria	Escherichia-Shigella
Otu0004	397480	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu4_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0005	392726	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu5_Bacteroides	Bacteroidetes	Bacteroides
Otu0006	296640	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu6_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0007	277540	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Terrisporobacter(100);	Otu7_Terrisporobacter	Firmicutes	Terrisporobacter
Otu0008	260831	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);	Otu8_Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu0009	249751	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu9_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0010	196872	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0010_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0011	172859	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0011_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0012	164591	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0012_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0013	160029	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0013_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0014	157554	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0014_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0015	146065	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0015_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0016	127517	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0016_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0017	100379	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0017_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0018	99901	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);	Otu0018_Alistipes	Bacteroidetes	Alistipes
Otu0019	90175	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0019_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0020	75805	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(99);	Otu0020_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0021	65904	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0021_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0022	65199	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0022_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0023	62678	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);	Otu0023_Alistipes	Bacteroidetes	Alistipes
Otu0024	60772	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0024_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0025	60628	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(100);Bacteroidales_unclassified(100);	Otu0025_Bacteroidales_unclassified	Bacteroidetes	Bacteroidales_unclassified
Otu0026	50977	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0026_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0027	50957	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0027_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0028	48698	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0028_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0029	47878	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Turicibacter(100);	Otu0029_Turicibacter	Firmicutes	Turicibacter
Otu0030	47522	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0030_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0031	47265	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_UCG-014(100);	Otu0031_Ruminococcaceae_UCG-014	Firmicutes	Ruminococcaceae_UCG-014
Otu0032	46971	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0032_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0033	46643	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus_1(100);	Otu0033_Ruminococcus	Firmicutes	Ruminococcus
Otu0034	43867	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu0034_Lactobacillus	Firmicutes	Lactobacillus
Otu0035	42785	Bacteria(100);Actinobacteria(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriaceae(100);Coriobacteriaceae_unclassified(90);	Otu0035_Coriobacteriaceae_unclassified	Actinobacteria	Coriobacteriaceae_unclassified
Otu0036	42436	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0036_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0037	41529	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0037_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0038	36373	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0038_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0039	35551	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0039_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0040	32934	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);	Otu0040_Bifidobacterium	Actinobacteria	Bifidobacterium
Otu0041	32671	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0041_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0042	30059	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);	Otu0042_Staphylococcus	Firmicutes	Staphylococcus
Otu0043	29693	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnoclostridium(100);	Otu0043_Lachnoclostridium	Firmicutes	Lachnoclostridium
Otu0044	27573	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0044_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0045	26202	Bacteria(100);Actinobacteria(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriaceae(100);Olsenella(98);	Otu0045_Olsenella	Actinobacteria	Olsenella
Otu0046	21672	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);Alphaproteobacteria_unclassified(100);	Otu0046_Alphaproteobacteria_unclassified	Proteobacteria	Alphaproteobacteria_unclassified
Otu0047	21330	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_ge(100);	Otu0047_Lachnospiraceae_ge	Firmicutes	Lachnospiraceae_ge
Otu0048	20677	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Salmonella(99);	Otu0048_Salmonella	Proteobacteria	Salmonella
Otu0049	20662	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0049_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0050	20213	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillaceae(100);Bacillus(100);	Otu0050_Bacillus	Firmicutes	Bacillus
Otu0051	18938	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Caproiciproducens(100);	Otu0051_Caproiciproducens	Firmicutes	Caproiciproducens
Otu0052	18751	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0052_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0053	18106	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_UCG-008(99);	Otu0053_Ruminococcaceae_UCG-008	Firmicutes	Ruminococcaceae_UCG-008
Otu0054	18014	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(99);	Otu0054_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0055	17608	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Caproiciproducens(99);	Otu0055_Caproiciproducens	Firmicutes	Caproiciproducens
Otu0056	17213	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0056_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0057	16918	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0057_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0058	16745	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Listeriaceae(100);Listeria(100);	Otu0058_Listeria	Firmicutes	Listeria
Otu0059	16705	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillospira(100);	Otu0059_Oscillospira	Firmicutes	Oscillospira
Otu0060	16035	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu0060_Lactobacillus	Firmicutes	Lactobacillus
Otu0061	15357	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(99);	Otu0061_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0062	15187	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_UCG-006(100);	Otu0062_Lachnospiraceae_UCG-006	Firmicutes	Lachnospiraceae_UCG-006
Otu0063	14579	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus_1(100);	Otu0063_Ruminococcus	Firmicutes	Ruminococcus
Otu0064	14462	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu0064_Clostridiales_unclassified	Firmicutes	Clostridiales_unclassified
Otu0065	13924	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu0065_Bacteroides	Bacteroidetes	Bacteroides
Otu0066	13563	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0066_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0067	13445	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);	Otu0067_Enterococcus	Firmicutes	Enterococcus
Otu0068	13351	Bacteria(100);Tenericutes(100);Mollicutes(100);Mollicutes_unclassified(100);Mollicutes_unclassified(100);Mollicutes_unclassified(100);	Otu0068_Mollicutes_unclassified	Tenericutes	Mollicutes_unclassified
Otu0069	13093	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0069_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0070	12018	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(95);Bacteroidales_S24-7_group_ge(95);	Otu0070_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0071	11954	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0071_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0072	11621	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_unclassified(99);Bacteroidales_unclassified(99);	Otu0072_Bacteroidales_unclassified	Bacteroidetes	Bacteroidales_unclassified
Otu0073	11045	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0073_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0074	10984	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0074_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0075	10723	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);Clostridiales_unclassified(100);	Otu0075_Clostridiales_unclassified	Firmicutes	Clostridiales_unclassified
Otu0076	10445	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);	Otu0076_Pseudomonas	Proteobacteria	Pseudomonas
Otu0077	10249	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Tyzzerella(100);	Otu0077_Tyzzerella	Firmicutes	Tyzzerella
Otu0078	9974	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0078_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0079	9869	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(99);	Otu0079_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0080	9799	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_FCS020_group(100);	Otu0080_Lachnospiraceae_FCS020_group	Firmicutes	Lachnospiraceae_FCS020_group
Otu0081	9661	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);uncultured(100);	Otu0081_uncultured	Firmicutes	uncultured
Otu0082	8973	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);uncultured(99);	Otu0082_uncultured	Firmicutes	uncultured
Otu0083	8703	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0083_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0084	8610	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0084_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0085	8606	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_ge(100);	Otu0085_Ruminococcaceae_ge	Firmicutes	Ruminococcaceae_ge
Otu0086	8589	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0086_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0087	8582	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);	Otu0087_Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu0088	8267	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_ge(100);	Otu0088_Lachnospiraceae_ge	Firmicutes	Lachnospiraceae_ge
Otu0089	8245	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnoclostridium(99);	Otu0089_Lachnoclostridium	Firmicutes	Lachnoclostridium
Otu0090	7930	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(99);	Otu0090_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0091	7745	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_ge(99);	Otu0091_Lachnospiraceae_ge	Firmicutes	Lachnospiraceae_ge
Otu0092	7421	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnoclostridium(100);	Otu0092_Lachnoclostridium	Firmicutes	Lachnoclostridium
Otu0093	7249	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Odoribacter(100);	Otu0093_Odoribacter	Bacteroidetes	Odoribacter
Otu0094	7038	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0094_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0095	7020	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0095_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0096	6726	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0096_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0097	6417	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0097_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0098	6228	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0098_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0099	6134	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0099_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0100	6133	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_UCG-006(100);	Otu0100_Lachnospiraceae_UCG-006	Firmicutes	Lachnospiraceae_UCG-006
Otu0101	6050	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Syntrophococcus(100);	Otu0101_Syntrophococcus	Firmicutes	Syntrophococcus
Otu0102	5997	Bacteria(100);Actinobacteria(100);Coriobacteriia(100);Coriobacteriales(100);Coriobacteriaceae(100);Eggerthella(100);	Otu0102_Eggerthella	Actinobacteria	Eggerthella
Otu0103	5953	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0103_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0104	5767	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0104_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0105	5727	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillaceae(100);Lactobacillus(100);	Otu0105_Lactobacillus	Firmicutes	Lactobacillus
Otu0106	5688	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0106_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0107	5584	Bacteria(100);Firmicutes(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);Firmicutes_unclassified(100);	Otu0107_Firmicutes_unclassified	Firmicutes	Firmicutes_unclassified
Otu0108	5292	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);	Otu0108_Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu0109	5243	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(99);	Otu0109_Fusicatenibacter	Firmicutes	Fusicatenibacter
Otu0110	5193	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0110_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0111	5143	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);	Otu0111_Ruminococcaceae_unclassified	Firmicutes	Ruminococcaceae_unclassified
Otu0112	5104	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Caproiciproducens(97);	Otu0112_Caproiciproducens	Firmicutes	Caproiciproducens
Otu0113	5057	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0113_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0114	5025	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0114_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0115	4935	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0115_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0116	4935	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0116_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0117	4877	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Fusicatenibacter(99);	Otu0117_Fusicatenibacter	Firmicutes	Fusicatenibacter
Otu0118	4835	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidales_S24-7_group(100);Bacteroidales_S24-7_group_ge(100);	Otu0118_Bacteroidales_S24-7_group_ge	Bacteroidetes	Bacteroidales_S24-7_group_ge
Otu0119	4787	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0119_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0120	4710	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0120_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0121	4533	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);	Otu0121_Lachnospiraceae_unclassified	Firmicutes	Lachnospiraceae_unclassified
Otu0122	4509	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);	Otu0122_Roseburia	Firmicutes	Roseburia
