phylum	taxon	total	X17371n12	X17371n14	X17371p00	X17371p01	X17371p03	X17371p04	X17371p06	X17371p07	X17371p09	X17371p10	X17372n12	X17372n14	X17372p00	X17372p01	X17372p01r	X17372p03	X17372p04	X17372p06	X17372p08	X17372p10c	X17373n12	X17373p00	X17373p03	X17373p04	X17373p06	X17373p07	X17373p08	X17373p09	X17373p10c	X17381n03	X17381n12	X17381n14	X17381p00	X17381p01	X17381p03	X17381p06	X17381p07	X17381p08	X17381p08r	X17381p09	X17381p10c	X17381p10cr	X17382n12	X17382n14	X17382p00	X17382p01	X17382p03	X17382p04	X17382p07	X17382p08	X17382p09	X17382p10c	X17383n12	X17383n14	X17383p00	X17383p01	X17383p04	X17383p07	X17383p08	X17383p09	X17383p10c	X17384n12	X17384n14	X17384p00	X17384p01	X17384p03	X17384p04c	X17391n03	X17391n14	X17391p00	X17391p01	X17391p03	X17391p04c	X17392n12	X17392p00	X17392p04c	X17392p04cr	X17401n03	X17401n12	X17401p00	X17401p01Amis	X17401p01B	X17401p03	X17401p04c	X17402n12	X17402n14	X17402p00	X17402p01	X17402p03	X17402p04c	X17403n12	X17403n14	X17403p00	X17403p01	X17403p03	X17403p04c	X17431n12	X17431n14	X17431p00	X17431p01	X17431p03	X17431p04c	X17432n12	X17432n14	X17432p00	X17432p01	X17432p03	X17432p04c	X17433n11	X17433n12	X17433p00	X17433p01	X17433p03	X17441n03	X17441n12	X17441n14	X17441p01	X17441p03	X17441p04	X17441p07	X17441p09	X17441p10c	X17442n12	X17442p00	X17442p01	X17442p03	X17442p04	X17442p06	X17442p07	X17442p08	X17442p10c	X17442p10cr	X17443n12	X17443n14	X17443p01	X17443p03	X17443p04	X17443p04c	X17443p06	X17443p07	X17443p08	X17443p09	X17443p10c
20_Firmicutes	Family_XIII	8998	0	0.219807436302282	0	0	0.155110904296572	0.138807528716603	0.086792785901321	0.0536617053125088	0.165134221094906	0.149019127523629	0.158821830782558	0.191712136852972	0.00399238784717139	0.681029110656102	0.395872542020897	0.120093405982431	0.115193831252792	0.194584978039695	0.0511001563063605	0.100229693046565	0.213885195676051	0.163273905143128	0.118770069942375	0.0980523841504365	0.196526508226691	0.0371353770169152	0.0687828364870996	0.0870714953723113	0.174216027874564	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316846119336025	0.173440402053971	0	0.00166691670417229	0	0	0	0	0.00170569873948863	0	0.341923637054391	0.130376344086022	0	0	0	0	0	0	0	0.134711535970571	0.231692001212594	0	0	0	0	0	0.325493971484894	0.0129836406128278	0	0.00848932467422217	0.00236417797531798	0.145112352139308	0	0	0.00125470514429109	0.123614530420601	0.156311873449907	0.279376298383438	0.180090322223146	0.206827159573675	0.307034501580659	0.182087450532909	0.176451937524986	0.114478944680251	0.00164238671637624	0	0	0.0452204002988479	0.186920988361781	0.263937083830169	0.167000055054963	0.28952228822443	0.219210840972499	0.0845746712500682	0.154936269547793	0.156552330694811	0.266935704226832	0.201007065702916	0.135768288787137	0.217960693811015	0.316717757986954	0.173032352287519	0.110163003902384	0.290817132922396	0.214060387561965	0.124581484076929	0.325297035413542	0.203986377858835	0.152455292485479	0.156016597510373	0.115364085610483	0.142801668524759	0.177993527508091	0.149294245385451	0.155089764075571	0.0942418245217227	0.0784341066355254	0.0471747562637593	0.158569072688063	0.176714273298763	0.127840323312302	0.215547319614806	0.203863510410894	0.126485070244387	0.144393693826433	0.256819226298289	0.0719190397095841	0.183284457478006	0.104365187403576	0.132935607288762	0.0888494002665482	0.127030403998334	0.137085612601331	0.141242937853107	0.111758204914878	0.134799726121191	0.15430464578007	0.0764175454684396	0.171550262254999	0.155884645362432	0.158173440616189
20_Firmicutes	Firmicutes_unclassified	8218	0.040101590696431	0.0216711556917742	0.00128100020496003	0.132299362927683	0.183030867069955	0.224129587652497	0.395716261143311	0.321970231875053	0.215335024307757	0.0510339477820646	0.0804422259807764	0.218256894263383	0.0958173083321134	0.175821240986379	0.242715296255435	0.133437117758256	0.178667983167595	0.127870128426085	0.0811590717806902	0.0396742534975987	0.0231227238568703	0.0105338003318147	0.255135705802138	0.318334452652787	0.121115173674589	0.29336947843363	0.133175279155874	0.141894288754878	0.0364033491081179	0.00302041802585478	0	0	0.00616611514192342	0	0	0	0	0	0	0	0	0.00109622678739778	0.0364513234634365	0.111985141483667	0.00289113433655695	0.00833458352086146	0.00162400935429388	0.00127927950978009	0	0.00393545848091303	0	0	0.0807319698600646	0.260752688172043	0	0.00666122666489034	0.00251733816662261	0	0	0.00537018473435486	0	0.145073961814461	0.101771252869083	0.00484683986041101	0.0053645190708653	0	0.00182355301068602	0.00571258825948861	0.0297987438683354	0.00432788020427595	0.00152237124545192	0.00212233116855554	0.00236417797531798	0.158304384151972	0	0	0.00125470514429109	0.12776964068684	0.212584147891874	0.0561140428376991	0.0526417864959964	0.270179622866513	0.247901930905865	0.121391633688606	0.0634124150480418	0.165554166152979	0	0.328001075413362	0.300454345595779	0.151390035783099	0.0709481123708949	0.0616299789654202	0.00917582720082215	0.00998352718015275	0.225189318453567	0.0436514432258417	0.064040324746421	0.212840809146878	0.10088908506211	0.166490700885243	0.0825258225961027	0.0512848691320036	0.0697360201072191	0.187319427247039	0.108295834344717	0.289236605026079	0.153973261228782	0.0986270082275688	0.119967701003576	0.0933496983421785	0.14330797493635	0.0663900414937759	0.0516555607211116	0.241760719519986	0.0323624595469256	0.199058993847267	0.103393176050381	0.29214965601734	0.25621808167605	0.171226893105497	0.0422850860501501	0.052145195399635	0.109282857025032	0.102346209313505	0.251365687594015	0.30040204183042	0.216590540739649	0.05947392609013	0.282539084573366	0.159565292392617	0.0794082947635902	0.0194539913105505	0.0740411668887902	0.208246563931695	0.237263560271535	0.199913081269013	0.294296606275844	0.0363745292707977	0.0499220912817875	0.194864740944521	0.114366841503332	0.123148869836321	0.0894023794787154
20_Firmicutes	Clostridiaceae_1	648	2.5932361983692	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129794276072425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00411074342794894	0	0.00190461679110163	0.00215150928376256	0	0	0.00126739499632455	0	0	0.00219245357479555	0	0.00136567245711788	0.00433670150483542	0	0	0.00255855901956018	0	0	0	0	0	0	0.0129546264209606	0	0	0	0	0.00358012315623657	0.00403787527003291	0	0	0.0121170996510275	0.00268225953543265	0	0	0.00114251765189772	0	0.00216394010213797	0	0	0	0	0.00471609130352764	0	0.00627352572145546	0.00103877756655967	0	0	0	0	0	0	0	0	0.00164238671637624	0	0	0	0	0	0	0	0	0	0.0309872539095585	0.0615655233069481	0	0	0	0	0.0145283375223373	0.00793726386639997	0	0	0	0	0.0184565693851655	0.0242017736442685	0	0	0	0	0	0.35061527325371	0	0	0	0	0	0	0.0701059837519073	0	0	0	0	0	0	0	0	0	0	0.279050395668471	0	0	0.00124175783238753	0	0	0	0	0	0.00458473740916489
20_Firmicutes	Christensenellaceae	546	0	0	0	0	0	0.0140080992282811	0.008826385006914	0.00282430027960573	0.015852885225111	0.0183722212015433	0	0.00737354372511429	0	0	0	0.0133437117758256	0.00470178903072619	0.00741276106817887	0.00300589154743297	0.0104405930256839	0.0115613619284352	0.0316014009954441	0.0021994457396736	0	0.0137111517367459	0	0	0	0.00780071766602527	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280394795872589	0.00136567245711788	0.00433670150483542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00757871032003811	0	0	0	0	0	0.00458442213359006	0	0	0	0	0.0109933600105536	0	0	0	0.00934899809903705	0.00833663325066172	0.0382053057618377	0.0166237220513673	0.0223596929268838	0.0227432964133822	0.0169948287164049	0.0110282460953116	0.010567287201254	0	0	0	0	0.0177370280927237	0.00669891075711089	0.0110109926409866	0.0349423451305346	0	0.0027282152016151	0.00826326770921561	0	0.0105092796939698	0.00812149760415821	0.0186348631668619	0.0183160246900013	0.0116226700178699	0.00158745277327999	0.0168045260190078	0.0458353089932037	0.0488207901457113	0.0181681330945522	0.00461414234629138	0.00864349058723875	0.042687481895934	0.00663900414937759	0.0103311121442223	0.0125264621512946	0	0	0.0187987592818874	0.0235604561304307	0	0	0.00211425430250751	0.0173817317998783	0	0.0124056011289097	0.0138548016784103	0.00903464787459909	0.00294681007809047	0.0216268822145927	0	0.0172503018802829	0.0226880842181686	0.00810582971272939	0	0.00208246563931695	0.0105450471231793	0.0152107779226423	0.00124175783238753	0.0192571037315988	0.00756395322451326	0.00191043863671099	0.00394368418977008	0.0202650038971161	0.0183389496366596
20_Firmicutes	Streptococcaceae	421	0	0.0216711556917742	0.00256200040992007	0	0	0	0.001471064167819	0	0	0	0.0288766965059197	0.0147470874502286	0.00266159189811426	0	0	0.00222395196263761	0	0	0	0	0.00578068096421758	0	0.0021994457396736	0.00402955003357958	0	0	0	0	0.00260023922200842	0	0	0.0232929588712898	0.0123322302838468	0.0122556529199093	0	0	0.0018522634659554	0.0014996775693226	0.00633697498162277	0.00223728661878873	0.00160436386972565	0.00876981429918221	0.0112157918349035	0.00955970719982519	0.0260202090290125	0.00833458352086146	0	0.00255855901956018	0	0.00787091696182605	0.00170569873948863	0.00451926336007231	0.0110808586082442	0.0120967741935484	0.0323865660524015	0.00333061333244517	0	0.00173187163367451	0	0.00358012315623657	0	0.00777181938291754	0.00649603741717552	0.0460449786739046	0.0268225953543265	0	0	0.00228503530379544	0.0366753770687205	0.00649182030641392	0.00761185622725958	0	0.0354626696297697	0.0219867200211073	0.0106112054329372	0.00888553213230557	0.0112923462986198	0.00311633269967902	0.00625247493799629	0	0	0	0	0	0.0220564921906232	0.00176121453354233	0.0197086405965149	0.0107541336201102	0	0	0.00682193388181682	0.00937847505995525	0.00183516544016443	0	0	0	0.0144607184911273	0.0158311345646438	0	0	0	0	0.00871700251340239	0.00793726386639997	0	0	0.00375544539582394	0.00259544758493602	0.0115353558657285	0.013829584939582	0	0	0	0	0	0.0316684762938835	0.00234984491023592	0	0	0	0	0	0.0144335848900986	0	0	0	0	0	0	0.00431257547007073	0.00226880842181686	0.00486349782763764	0.118465867022064	0.0104123281965848	0	0.00217296827466319	0.00248351566477506	0	0	0	0.00394368418977008	0	0.00229236870458245
20_Firmicutes	Bacillales_unclassified	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00380923358220326	0	0	0	0.00126739499632455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00250941028858218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174298014745612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20_Firmicutes	Lactobacillales_unclassified	133	0	0	0	0	0.00310221808593144	0	0	0	0	0	0	0	0	0	0.00389382828217276	0	0	0	0	0	0.00192689365473919	0.00263345008295368	0	0	0	0	0	0	0	0.0140952841206556	0.00135875103604767	0	0	0.0107236963049206	0	0	0	0	0	0	0	0	0	0.00273134491423577	0	0.00333383340834458	0.0146160841886449	0.00255855901956018	0	0	0	0	0	0.00134408602150538	0	0.00499591999866775	0.00125866908331131	0	0	0.00179006157811829	0	0	0	0	0.0107290381417306	0.00177198142963462	0.00547065903205806	0.0182802824303635	0	0	0	0.00212233116855554	0	0	0.00235804565176382	0.00444276606615279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00183516544016443	0	0	0	0	0	0	0.00203037440103955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174721319495405	0	0	0.00206194069858551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00229236870458245
20_Firmicutes	Bacilli_unclassified	104	0	0	0	0.00203537481427205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201361201723652	0	0	0	0.00153195661498866	0.00380923358220326	0	0	0	0	0	0	0	0	0	0	0.00166691670417229	0.00324801870858776	0	0	0	0	0	0	0.00268817204301075	0	0	0.00377600724993392	0.00346374326734902	0	0	0	0	0	0	0.00268225953543265	0	0.00182355301068602	0	0	0	0.00152237124545192	0.00212233116855554	0.00709253392595395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041649312786339	0	0	0	0	0	0	0	0	0
20_Firmicutes	Clostridia_unclassified	104	0	0	0	0	0	0	0	0	0	0.00408271582256517	0	0	0	0	0.0025958855214485	0	0.0023508945153631	0	0	0.00417623721027354	0	0.00263345008295368	0	0.00134318334452653	0	0	0	0.00161243509948725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00280394795872589	0.00546268982847154	0.0057822686731139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00108267290286259	0	0.0053645190708653	0	0	0	0.00229221106679503	0	0	0	0	0.00659601600633218	0.00235804565176382	0	0	0.00207755513311935	0	0	0	0.00745323097562794	0.00227432964133822	0.00485566534754425	0	0.00176121453354233	0	0	0	0	0.00136438677636336	0.00267956430284436	0	0	0.00199282582702272	0	0	0.00351802990325418	0.00210185593879396	0	0	0.00183160246900013	0.00290566750446746	0.00634981109311998	0.00746867823067013	0.00632211158526948	0.00563316809373592	0.00259544758493602	0	0	0.00762276462427393	0	0.00344370404807411	0	0	0.00678610206297503	0	0.00235604561304307	0.00174298014745612	0	0.00845701721003002	0	0.00412388139717102	0.00775350070556856	0	0.00225866196864977	0.00147340503904523	0	0.00171235808832343	0.00431257547007073	0	0	0	0.00624739691795085	0.00263626178079483	0.00217296827466319	0	0.00213967819239986	0.0030255812898053	0	0.00394368418977008	0	0.00229236870458245
20_Firmicutes	Leuconostocaceae	78	0	0	0.0038430006148801	0	0.00310221808593144	0.00127346356620737	0	0	0	0	0	0	0.00266159189811426	0	0.0025958855214485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00411074342794894	0.00459586984496599	0	0	0	0	0.00126739499632455	0.00447457323757747	0	0.00109622678739778	0	0	0.00144556716827847	0	0	0	0	0.00983864620228257	0.00170569873948863	0	0	0	0.00323865660524015	0.00166530666622258	0	0	0	0	0	0	0	0.00484683986041101	0.00268225953543265	0	0	0.00457007060759089	0	0.00649182030641392	0.00456711373635575	0	0	0	0.00353706847764573	0.0177710642646111	0.00627352572145546	0	0	0	0	0	0	0	0	0	0.00328477343275248	0.012098400322624	0.00244271825687625	0	0	0	0	0	0	0	0	0	0	0	0	0.00549480740700038	0	0	0	0.00158052789631737	0	0	0	0	0	0	0	0	0	0	0	0.00235604561304307	0	0	0	0	0.00206194069858551	0	0	0	0	0	0	0.00215628773503536	0.00453761684363372	0	0	0	0	0	0	0	0	0	0	0	0
