"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"40"	"Otu0117"	3.64103	"n12"	3.16097	2.05714	0.00156035	"Firmicutes"	"Fusicatenibacter"	"Fusicatenibacter"
"41"	"Otu0118"	3.17226	"n14"	2.73752	-2.91518	0.000516932	"Bacteroidetes"	"Bacteroidales_unclassified"	"Bacteroidales_S24-7_group_ge"
"42"	"Otu0119"	2.67749	"n12"	2.16358	2.99037	0.00547855	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"43"	"Otu0121"	3.71779	"n12"	3.28319	2.23287	0.0121289	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"44"	"Otu0123"	3.08399	"n12"	2.65853	2.67335	0.0306907	"Firmicutes"	"Caproiciproducens"	"Caproiciproducens"
"45"	"Otu0125"	3.79371	"n14"	3.52067	-2.81847	0.00306904	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_UCG-014"
"46"	"Otu0130"	2.56415	"n14"	2.10242	-2.44957	0.00868671	"Firmicutes"	"Coprobacillus"	"Coprobacillus"
"47"	"Otu0133"	3.00159	"n12"	2.4368	3.26386	0.0371712	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"48"	"Otu0135"	2.85595	"n14"	2.35539	-2.65001	0.0042944	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_UCG-006"
"49"	"Otu0147"	3.56437	"n14"	3.2551	-2.18201	0.000174737	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_UCG-014"
"50"	"Otu0148"	2.63448	"n12"	2.11614	2.55926	0.0247131	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"51"	"Otu0149"	2.68344	"n12"	2.0623	2.29473	0.0448623	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"52"	"Otu0157"	3.21159	"n12"	2.72579	2.79717	0.00871191	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"53"	"Otu0158"	2.93413	"n14"	2.54016	-2.31946	0.00187922	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"54"	"Otu0159"	3.57029	"n14"	3.2716	-2.8474	0.00261066	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"55"	"Otu0161"	3.24262	"n14"	2.83212	-2.98713	0.00155399	"Firmicutes"	"Ruminiclostridium"	"Ruminiclostridium_6"
"56"	"Otu0170"	3.41731	"n12"	3.05429	2.9534	0.00380034	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"57"	"Otu0185"	2.93713	"n12"	2.3645	2.19178	0.0205899	"Firmicutes"	"Other"	"uncultured"
"58"	"Otu0191"	2.78046	"n14"	2.33014	-2.32023	0.0482902	"Actinobacteria"	"Eggerthella"	"Eggerthella"
"59"	"Otu0216"	2.73247	"n12"	2.24413	2.71749	0.00871191	"Firmicutes"	"Other"	"uncultured"
"60"	"Otu0225"	2.58484	"n14"	2.30688	-2.37749	0.000103357	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"61"	"Otu0253"	2.66657	"n14"	2.3606	-2.75613	0.00153239	"Tenericutes"	"Mollicutes_unclassified"	"Mollicutes_RF9_ge"
"62"	"Otu0258"	2.8762	"n14"	2.58248	-2.79062	0.00532125	"Firmicutes"	"Firmicutes_unclassified"	"Firmicutes_unclassified"
"63"	"Otu0265"	2.55788	"n14"	2.28823	-2.35544	0.00808123	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"64"	"Otu0270"	2.53928	"n14"	2.18018	-2.47395	0.000829524	"Bacteria_unclassified"	"Other"	"Bacteria_unclassified"
"65"	"Otu0273"	2.45104	"n14"	2.12153	-2.1726	0.00112931	"Firmicutes"	"Clostridiales_unclassified"	"Clostridiales_unclassified"
"66"	"Otu0276"	2.61873	"n14"	2.19569	-2.50662	0.00425094	"Actinobacteria"	"Coriobacteriaceae_unclassified"	"Coriobacteriaceae_unclassified"
"67"	"Otu0316"	2.30172	"n14"	2.00946	-3.0944	0.000301694	"Bacteria_unclassified"	"Other"	"Bacteria_unclassified"
