"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"40"	"Otu0099"	2.94929	"n12"	2.55476	-2.05714	0.0108895	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"41"	"Otu0100"	2.97088	"n12"	2.49637	-2.91518	0.0157974	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_UCG-006"
"42"	"Otu0101"	2.97057	"n12"	2.5482	-2.99037	0.00284405	"Firmicutes"	"Syntrophococcus"	"Syntrophococcus"
"43"	"Otu0102"	3.14466	"n12"	2.81027	-2.23287	0.00655082	"Actinobacteria"	"Eggerthella"	"Eggerthella"
"44"	"Otu0104"	3.59718	"n12"	3.32473	-2.67335	9.13457e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"45"	"Otu0105"	2.80061	"n12"	2.43114	-2.81847	0.0196474	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"46"	"Otu0106"	3.30987	"n12"	2.81802	-2.44957	0.0101022	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"47"	"Otu0109"	3.43243	"n12"	3.10655	-3.26386	0.000471458	"Firmicutes"	"Fusicatenibacter"	"Fusicatenibacter"
"48"	"Otu0111"	3.23751	"n12"	2.56181	-2.65001	0.029375	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"49"	"Otu0113"	3.81303	"n12"	3.48572	-2.18201	5.81102e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"50"	"Otu0115"	3.06686	"n12"	2.72838	-2.55926	0.00113634	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"51"	"Otu0116"	3.07679	"n12"	2.74219	-2.29473	7.26305e-05	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"52"	"Otu0117"	3.64103	"n12"	3.32077	-2.79717	6.71899e-05	"Firmicutes"	"Fusicatenibacter"	"Fusicatenibacter"
"53"	"Otu0119"	2.78162	"p00"	2.30265	2.31946	0.0377846	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"54"	"Otu0121"	3.71779	"n12"	3.38293	-2.8474	0.000160835	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"55"	"Otu0122"	3.51121	"n12"	3.20281	-2.98713	3.2593e-05	"Firmicutes"	"Roseburia"	"Roseburia"
"56"	"Otu0124"	3.24034	"n12"	2.9503	-2.9534	0.000106506	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"57"	"Otu0126"	2.90962	"n12"	2.45828	-2.19178	0.018903	"Firmicutes"	"Butyrivibrio"	"Butyrivibrio"
"58"	"Otu0129"	3.02751	"n12"	2.71371	-2.32023	0.000632449	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"59"	"Otu0131"	2.89114	"n12"	2.46919	-2.71749	0.00319567	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"60"	"Otu0132"	3.13427	"n12"	2.81879	-2.37749	0.000317714	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"61"	"Otu0134"	2.73783	"n12"	2.18205	-2.75613	0.0466563	"Firmicutes"	"Blautia"	"Blautia"
"62"	"Otu0138"	3.06358	"n12"	2.777	-2.79062	0.000317714	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"63"	"Otu0139"	2.74944	"p00"	2.11129	2.35544	0.0316294	"Verrucomicrobia"	"Verrucomicrobiales_unclassified"	"Verrucomicrobiales_unclassified"
"64"	"Otu0140"	2.72993	"n12"	2.25603	-2.47395	0.0476499	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"65"	"Otu0142"	3.05385	"n12"	2.79077	-2.1726	0.000871655	"Firmicutes"	"Syntrophococcus"	"Syntrophococcus"
