sampleID	seqID	patientID	experiment
17891p04	17891p04	17891	relapse
17891p09	17891p09	17891	relapse
17891p11	17891p11	17891	relapse
17892n10	17892n10	17892	relapse
17892p00	17892p00	17892	relapse
17892p01	17892p01	17892	relapse
17892p09	17892p09	17892	relapse
17892p11	17892p11	17892	relapse
17892p28	17892p28	17892	relapse
17893cec	17893cec	17893	relapse
17893n10	17893n10	17893	relapse
17893p00	17893p00	17893	relapse
17893p01	17893p01	17893	relapse
17893p04	17893p04	17893	relapse
17893p09	17893p09	17893	relapse
17893p11	17893p11	17893	relapse
17893p14	17893p14	17893	relapse
17893p16	17893p16	17893	relapse
17901n10	17901n10	17901	relapse
17901p00	17901p00	17901	relapse
17901p01	17901p01	17901	relapse
17901p04	17901p04	17901	relapse
17901p09	17901p09	17901	relapse
17902cec	17902cec	17902	relapse
17902n10	17902n10	17902	relapse
17902p00	17902p00	17902	relapse
17902p01	17902p01	17902	relapse
17902p11	17902p11	17902	relapse
17902p14	17902p14	17902	relapse
17902p16	17902p16	17902	relapse
17902p22	17902p22	17902	relapse
17902p28	17902p28	17902	relapse
17931cec	17931cec	17931	relapse
17931n10	17931n10	17931	relapse
17931p00	17931p00	17931	relapse
17931p01	17931p01	17931	relapse
17931p04	17931p04	17931	relapse
17931p09	17931p09	17931	relapse
17931p11	17931p11	17931	relapse
17931p16	17931p16	17931	relapse
17931p22	17931p22	17931	relapse
17931p28	17931p28	17931	relapse
17932cec	17932cec	17932	relapse
17932n10	17932n10	17932	relapse
17932p00	17932p00	17932	relapse
17932p01	17932p01	17932	relapse
17932p04	17932p04	17932	relapse
17932p09	17932p09	17932	relapse
17932p11	17932p11	17932	relapse
17932p16	17932p16	17932	relapse
17932p22	17932p22	17932	relapse
17932p28	17932p28	17932	relapse
17933cec	17933cec	17933	relapse
17933n10	17933n10	17933	relapse
17933p01	17933p01	17933	relapse
17933p04	17933p04	17933	relapse
17933p09	17933p09	17933	relapse
17933p11	17933p11	17933	relapse
17933p14	17933p14	17933	relapse
17933p16	17933p16	17933	relapse
17933p22	17933p22	17933	relapse
17933p28	17933p28	17933	relapse
17934cec	17934cec	17934	relapse
17934n10	17934n10	17934	relapse
17934p00	17934p00	17934	relapse
17934p01	17934p01	17934	relapse
17934p04	17934p04	17934	relapse
17934p09	17934p09	17934	relapse
17934p11	17934p11	17934	relapse
17934p14	17934p14	17934	relapse
17934p16	17934p16	17934	relapse
17934p28	17934p28	17934	relapse
18011796fmt	18011796fmt	fmt	relapse
DNA_EXT_ControlA	DNA_EXT_ControlA	Control	Control
DNA_EXT_ControlB	DNA_EXT_ControlB	Control	Control
DNA_EXT_ControlC	DNA_EXT_ControlC	Control	Control
DNA_EXT_ControlD	DNA_EXT_ControlD	Control	Control
Water_NEG_PlateA	Water_NEG_PlateA	Control	Control
Water_NEG_PlateB	Water_NEG_PlateB	Control	Control
Water_NEG_PlateC	Water_NEG_PlateC	Control	Control
Water_NEG_PlateD	Water_NEG_PlateD	Control	Control
Zymo_POS_PlateA	Zymo_POS_PlateA	Control	Control
Zymo_POS_PlateB	Zymo_POS_PlateB	Control	Control
Zymo_POS_PlateC	Zymo_POS_PlateC	Control	Control
Zymo_POS_PlateD	Zymo_POS_PlateD	Control	Control
a1d00	a1d00	a1	bioreactor
a1p01	a1p01	a1	bioreactor
a1p02	a1p02	a1	bioreactor
a1p03	a1p03	a1	bioreactor
a1p04	a1p04	a1	bioreactor
a1p06	a1p06	a1	bioreactor
a2p00	a2p00	a2	bioreactor
a2p01	a2p01	a2	bioreactor
a2p02	a2p02	a2	bioreactor
a2p03	a2p03	a2	bioreactor
a2p04	a2p04	a2	bioreactor
